event, date, match, matchType, matchNum, color, autoSwitchTime, autoScaleTime, autoScore, autoSwitchAtZero, youtube 
2018abca,1523044946,2018abca_qm27, qm,27,blue,5,15, 30,True,=HYPERLINK("https://youtu.be/a6vgzN2NnqM")
2018abca,1523044946,2018abca_qm27,qm,27,red,9,15,27,True,=HYPERLINK("https://youtu.be/a6vgzN2NnqM")
2018abca,1523045376,2018abca_qm28, qm,28,blue,5,15, 30,True,=HYPERLINK("https://youtu.be/XteRAw6vIno")
2018abca,1523045376,2018abca_qm28,qm,28,red,6,15,33,True,=HYPERLINK("https://youtu.be/XteRAw6vIno")
2018abca,1523045821,2018abca_qm29, qm,29,blue,15,15, 5,False,=HYPERLINK("https://youtu.be/z46nr-JsMc4")
2018abca,1523045821,2018abca_qm29,qm,29,red,15,15,5,False,=HYPERLINK("https://youtu.be/z46nr-JsMc4")
2018abca,1523029497,2018abca_qm3, qm,3,blue,15,15, 5,False,"no video"
2018abca,1523029497,2018abca_qm3,qm,3,red,15,15,10,False,"no video"
2018abca,1523046267,2018abca_qm30, qm,30,blue,5,15, 35,True,=HYPERLINK("https://youtu.be/biI5D8EGM9U")
2018abca,1523046267,2018abca_qm30,qm,30,red,8,15,29,True,=HYPERLINK("https://youtu.be/biI5D8EGM9U")
2018abca,1523046743,2018abca_qm31, qm,31,blue,15,15, 5,False,=HYPERLINK("https://youtu.be/OVbEPjjVdMQ")
2018abca,1523046743,2018abca_qm31,qm,31,red,7,15,26,True,=HYPERLINK("https://youtu.be/OVbEPjjVdMQ")
2018abca,1523047222,2018abca_qm32, qm,32,blue,15,15, 5,False,=HYPERLINK("https://youtu.be/ube191iAd0w")
2018abca,1523047222,2018abca_qm32,qm,32,red,8,15,29,True,=HYPERLINK("https://youtu.be/ube191iAd0w")
2018abca,1523047963,2018abca_qm33, qm,33,blue,4,15, 37,True,=HYPERLINK("https://youtu.be/2sVs87lHlXc")
2018abca,1523047963,2018abca_qm33,qm,33,red,15,15,10,False,=HYPERLINK("https://youtu.be/2sVs87lHlXc")
2018abca,1523048554,2018abca_qm34, qm,34,blue,4,15, 32,True,"no video"
2018abca,1523048554,2018abca_qm34,qm,34,red,6,15,33,True,"no video"
2018abca,1523048939,2018abca_qm35, qm,35,blue,7,8, 45,True,"no video"
